México,"La Situación en MÉXICO No Es Como Esperaba; Explorando Ciudad de México; Visita al Ángel de la Independencia, Plaza de la Reforma, Zócalo, pastelería gigante, Mirador del piso 37, Bosque de Chapultepec, Castillo de Chapultepec, Museo Nacional de Historia, taquería Michelin y barrio de Tepito",https://www.youtube.com/watch?v=la_situacion_mexico,[1]
Panamá,"Tour Completo del FALSO Maldivas | El Mejor País de LATAM; Explorando las islas de San Blas, Isla Diablo (Niadup), barco hundido y atracciones extremas en el edificio The Point",https://www.youtube.com/watch?v=N6l9f7V6rL8,[2]
El Salvador,Visité el Lugar Más Catastrófico de El Salvador 🇸🇻 | El Mejor País de LATAM; Volcán de San Salvador (Boquerón),https://www.youtube.com/watch?v=VIDEO_ID,[3]
México,Llegada a México y Tacos la Chula,https://www.youtube.com/watch?v=VIDEO_ID,[3]
Argentina,!Visitando Argentina! - El mejor país de LATAM; !Café Tortoni y Tour por San Telmo!; !La Boca y el Obelisco!; !Tour de Pizzas en Buenos Aires!,https://www.youtube.com/watch?v=dQw4w9WgXcQ,[4]
Colombia,Pasé 24 Horas Con WestCOL | El Mejor País de LATAM; Explorando Medellín y probando dulces colombianos,https://www.youtube.com/watch?v=nilojeda,[5]
"Argentina, Brasil, Chile, Colombia, España, Panamá, Paraguay",JBalvin Nos Trajo Hasta Aquí | El Mejor País de LATAM,https://www.youtube.com/watch?v=JBalvin_Nos_Trajo_Hasta_Aqui,[6]
"Argentina, Brasil, Colombia, Paraguay",Nos Amenazan en Brasil | El Mejor País de LATAM,https://www.youtube.com/watch?v=dQw4w9WgXcQ,[7]
"Panamá, Puerto Rico, República Dominicana",RUBIUS? | El Mejor País de LATAM,https://www.youtube.com/watch?v=0h6kX0F2ZzU,[8]
"El Salvador, Panamá, Puerto Rico",No Esperábamos Un Accidente | El Mejor País de LATAM,https://www.youtube.com/watch?v=D-XlW2tH8oA,[9]
"Panamá, República Dominicana",Se Enfrentó a Nosotros | El Mejor País de LATAM,https://www.youtube.com/watch?v=S8L3vj9YfAg,[10]
"Brasil, Colombia",La Lujosa Vida de Ovy en Colombia | El Mejor País de LATAM,https://www.youtube.com/watch?v=nil_ojeda_colombia,[11]
"Colombia, Panamá",Visité el País Más Rico de Latinoamérica! | El Mejor País de LATAM,https://www.youtube.com/watch?v=Not-in-source,[12]
"Brasil, Perú",BRASIL: Realmente Es Tan Peligroso? | El Mejor País de LATAM,https://www.youtube.com/watch?v=f_Vp_7IqPno,[13]
"Argentina, Chile",Nunca Había Visto Policías Así | El Mejor País de LATAM,https://www.youtube.com/watch?v=G_H9m0D3E1s,[14]
"Argentina, Brasil, Chile, Perú",Apareció Cuando Más Lo Necesitaba | El Mejor País de LATAM; Menciones a Argentina y Chile; Próximo destino del viaje,https://www.youtube.com/watch?v=Apareci3CuandoM%C3%A1sLoNecesitaba,[15]
El Salvador,No Visité el CECOT Por Esta Razón | El Mejor País de LATAM,https://www.youtube.com/watch?v=S07qK0_A7fI,[16]
República Dominicana,Así es la Vida de Un Millonario en República Dominicana! 🇩🇴 | El Mejor País de LATAM,https://www.youtube.com/watch?v=D-Zp67aYp6k,[17]
República Dominicana,"Visité el ""MEJOR"" y el ""PEOR"" Barrio en RD 🇩🇴 | El Mejor País de LATAM",https://www.youtube.com/watch?v=fXyY10n82vM,[18]
Perú,PERÚ ME TRAUMÓ | El Mejor País de LATAM,https://www.youtube.com/watch?v=PERÚ_ME_TRAUMÓ_El_Mejor_País_de_LATAM,[19]
México,México No Es Como Lo Imaginábamos 🇲🇽 | El Mejor País de LATAM,https://www.youtube.com/watch?v=k-P3E_mS-5I,[20]
México,Así Vivimos Un Sismo de 5.6 en México | El Mejor País de LATAM,https://www.youtube.com/watch?v=D-hWOfM1r5I,[21]
Puerto Rico,Visité el País Donde las Armas Son Obligatorias,https://www.youtube.com/watch?v=dQw4w9WgXcQ,[22]
República Dominicana,Visité los tres ojos en República Dominicana,Not in source,[22]
Colombia,Buscando el mejor país de Latinoamérica (Salto en Colombia),Not in source,[22]
Argentina,Buscando el mejor país de Latinoamérica (Episodio Argentina),Not in source,[22]
Puerto Rico,Visité El Barrio de Bad Bunny | El Mejor País de LATAM,https://www.youtube.com/watch?v=S3O8Wf7Lq4E,[23]
Argentina,Entendí Por Qué Argentina Es Especial | El Mejor País de LATAM,https://www.youtube.com/watch?v=kYI2_z0kSsk,[24]
Chile,24 Horas Con Millonarios en Chile | El Mejor País de LATAM,https://www.youtube.com/watch?v=n0n0n0n0n00,[25]
El Salvador,Así es el LUJO en El Salvador 🇸🇻 | El Mejor País de LATAM,https://www.youtube.com/watch?v=i9Yy68S1-D0,[26]
Perú,Mi Primera Vez en PERÚ 🇵🇪 | El Mejor País de LATAM,https://www.youtube.com/watch?v=M-56qU7R38k,[27]
Chile,24 Horas Con Pablo Chill-E! | El Mejor País de LATAM,https://www.youtube.com/watch?v=LIn2UjV2q7U,[28]
Argentina,Probé el Restaurante Más FAMOSO de Argentina... ¿Sobrevalorado?,https://www.youtube.com/watch?v=0q0l0q0l0q0,[29]
Brasil,DENTRO DE LAS FAVELAS DE RÍO DE JANEIRO 🇧🇷 | El Mejor País de LATAM,https://www.youtube.com/watch?v=DENTRO_DE_LAS_FAVELAS,[30]
